month,month_ratio
1.0,40169983.333333336
2.0,62791275.0
3.0,30992783.333333332
4.0,44746875.0
5.0,72649016.66666667
6.0,116656783.33333333
7.0,103756808.33333333
8.0,102862641.66666667
9.0,18151125.0
10.0,32078216.666666668
11.0,31891316.666666668
12.0,55842683.333333336
