op_unique_carrier,month,mean_delay,flight_count
9E,1,3.84622921372778,37344
9E,2,4.71691680023313,35695
9E,3,2.28319117150981,43656
9E,4,6.71260570498755,41954
9E,5,1.30325826661184,42195
9E,6,9.85509830603914,43858
9E,7,7.55682577565632,43791
9E,8,7.47883640002729,46180
9E,9,-0.767590247777943,40597
9E,10,0.647876319901511,42499
9E,11,0.736584146036509,40343
9E,12,0.85410027740205,44079
9K,1,-2.65588235294118,341
9K,2,-3.90163934426229,308
9K,3,5.48823529411765,341
9K,4,-1.51818181818182,330
9K,5,-4.74117647058824,341
AA,1,1.88672574778785,149121
AA,2,4.64233985719796,139448
AA,3,2.98563293114208,158235
AA,4,4.23973998713478,151149
AA,5,10.0592860957921,159623
AA,6,12.5333355151198,158453
AA,7,11.5383384552866,162537
AA,8,10.2258098951956,163095
AA,9,3.66534778982485,152792
AA,10,5.30283646210985,159991
AA,11,2.75179789417919,152130
AA,12,3.87937127794591,155526
AS,1,-2.76115262681159,35884
AS,2,4.62876797998749,33084
AS,3,-2.12195581389091,37631
AS,4,-1.0889080607177,43287
AS,5,0.741820516226148,45541
AS,6,0.596509909596662,46519
AS,7,0.0719679775512731,48923
AS,8,5.1955756661639,48394
AS,9,-1.29660558443697,42866
AS,10,-0.604140758141035,43828
AS,11,-0.891930132708821,41584
AS,12,2.63197939557194,42865
AX,1,18.5281651733541,13394
AX,2,22.9513610376312,12465
AX,3,8.81270646078205,13866
AX,4,6.69363898588128,13606
AX,5,13.5432965064198,13795
AX,6,31.9240859404448,13963
AX,7,23.9683614978039,13982
AX,8,18.382518936581,14071
AX,9,7.03444044502618,12545
AX,10,10.6629794105773,12732
AX,11,14.1148838845883,11889
AX,12,9.81429718875502,12697
B6,1,14.760556447298,47821
B6,2,9.96443933968426,45245
B6,3,11.3481171548117,52427
B6,4,12.9440690093815,51165
B6,5,8.36400621056976,51480
B6,6,11.0670710816421,50184
B6,7,17.1382123387065,52216
B6,8,19.2848375522049,52141
B6,9,2.22087098735664,48570
